year,scenario,area scenario,SLR scenario,wetland area,marsh area,mangrove area,gross loss marsh,gross loss mangrove,high gross loss marsh,high gross loss mangrove,SLRmm,SLRmmyr,elevation gain,elevation loss for lost wetlands mm,marshNgain,mangNgain,totalgain,marshNloss,mangroveNloss,totalloss,NetN
2020.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,18.00,3.54,18.00,500.00,1.00,4.00,6.00,0.00,0.00,0.00,6.00
2030.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,36.00,3.57,36.00,500.00,3.00,9.00,12.00,0.00,0.00,0.00,12.00
2035.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,54.00,3.61,54.00,500.00,4.00,14.00,18.00,0.00,0.00,0.00,18.00
2040.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,72.00,3.64,72.00,500.00,6.00,18.00,24.00,0.00,0.00,0.00,24.00
2045.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,90.00,3.68,90.00,500.00,7.00,23.00,30.00,0.00,0.00,0.00,30.00
2050.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,109.00,3.72,109.00,500.00,8.00,27.00,36.00,0.00,0.00,0.00,36.00
2055.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,127.00,3.75,127.00,500.00,10.00,32.00,42.00,0.00,0.00,0.00,42.00
2060.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,146.00,3.79,146.00,500.00,11.00,37.00,48.00,0.00,0.00,0.00,48.00
2065.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,166.00,3.83,166.00,500.00,13.00,42.00,55.00,0.00,0.00,0.00,55.00
2070.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,185.00,3.87,185.00,500.00,14.00,47.00,61.00,0.00,0.00,0.00,61.00
2075.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,204.00,3.90,204.00,500.00,16.00,52.00,67.00,0.00,0.00,0.00,67.00
2080.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,224.00,3.94,224.00,500.00,17.00,57.00,74.00,0.00,0.00,0.00,74.00
2085.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,244.00,3.98,244.00,500.00,19.00,62.00,80.00,0.00,0.00,0.00,80.00
2090.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,264.00,4.02,264.00,500.00,20.00,67.00,87.00,0.00,0.00,0.00,87.00
2095.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,285.00,4.06,285.00,500.00,22.00,72.00,94.00,0.00,0.00,0.00,94.00
2100.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,305.00,4.10,305.00,500.00,24.00,77.00,100.00,0.00,0.00,0.00,100.00
2105.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,326.00,4.15,326.00,500.00,25.00,82.00,107.00,0.00,0.00,0.00,107.00
2110.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,347.00,4.19,347.00,500.00,27.00,87.00,114.00,0.00,0.00,0.00,114.00
2115.00,Area stable LowSLR,Area stable,LowSLR,200239.00,52880.00,147359.00,0.00,0.00,0.00,0.00,368.00,4.23,368.00,500.00,28.00,93.00,121.00,0.00,0.00,0.00,121.00
