"SL","Amarsh","Amangrove","Atotal","Ngainmarsh","Ngainmangrove","Ngaintotal","Nlossmarsh","Nlossmangrove","Nlosstotal","netNmarsh","netNmangrove","netNtotal"
-140,5000,13932.39409985,18932.39409985,-1.246,-3.17937233358577,-4.42537233358577,-42.6132,-108.734533808622,-151.347733808622,-43.8592,-111.913906142208,-155.773106142208
-135,5000,13932.39409985,18932.39409985,-1.2015,-3.06582332167199,-4.26732332167199,-42.6132,-108.734533808622,-151.347733808622,-43.8147,-111.800357130294,-155.615057130294
-130,5000,13932.39409985,18932.39409985,-1.157,-2.95227430975821,-4.10927430975821,-42.6132,-108.734533808622,-151.347733808622,-43.7702,-111.68680811838,-155.45700811838
-125,5000,13932.39409985,18932.39409985,-1.1125,-2.83872529784444,-3.95122529784444,-42.6132,-108.734533808622,-151.347733808622,-43.7257,-111.573259106467,-155.298959106467
-120,5000,13932.39409985,18932.39409985,-1.068,-2.72517628593066,-3.79317628593066,-42.6132,-108.734533808622,-151.347733808622,-43.6812,-111.459710094553,-155.140910094553
-115,5000,13932.39409985,18932.39409985,-1.0235,-2.61162727401688,-3.63512727401688,-42.6132,-108.734533808622,-151.347733808622,-43.6367,-111.346161082639,-154.982861082639
-110,5000,13932.39409985,18932.39409985,-0.979,-2.4980782621031,-3.4770782621031,-42.6132,-108.734533808622,-151.347733808622,-43.5922,-111.232612070725,-154.824812070725
-105,5000,13932.39409985,18932.39409985,-0.9345,-2.38452925018933,-3.31902925018933,-42.6132,-108.734533808622,-151.347733808622,-43.5477,-111.119063058812,-154.666763058812
-100,5000,13932.39409985,18932.39409985,-0.89,-2.27098023827555,-3.16098023827555,-42.6132,-108.734533808622,-151.347733808622,-43.5032,-111.005514046898,-154.508714046898
-95,5000,13932.39409985,18932.39409985,-0.8455,-2.15743122636177,-3.00293122636177,-42.6132,-108.734533808622,-151.347733808622,-43.4587,-110.891965034984,-154.350665034984
-90,5000,13932.39409985,18932.39409985,-0.801,-2.043882214448,-2.844882214448,-42.6132,-108.734533808622,-151.347733808622,-43.4142,-110.77841602307,-154.19261602307
-85,5000,13932.39409985,18932.39409985,-0.7565,-1.93033320253422,-2.68683320253422,-42.6132,-108.734533808622,-151.347733808622,-43.3697,-110.664867011156,-154.034567011156
-80,5000,13932.39409985,18932.39409985,-0.712,-1.81678419062044,-2.52878419062044,-42.6132,-108.734533808622,-151.347733808622,-43.3252,-110.551317999243,-153.876517999243
-75,5000,13932.39409985,18932.39409985,-0.6675,-1.70323517870666,-2.37073517870666,-42.6132,-108.734533808622,-151.347733808622,-43.2807,-110.437768987329,-153.718468987329
-70,5000,13932.39409985,18932.39409985,-0.623,-1.58968616679288,-2.21268616679288,-42.6132,-108.734533808622,-151.347733808622,-43.2362,-110.324219975415,-153.560419975415
-65,5000,13932.39409985,18932.39409985,-0.5785,-1.47613715487911,-2.05463715487911,-42.6132,-108.734533808622,-151.347733808622,-43.1917,-110.210670963501,-153.402370963501
-60,5000,13932.39409985,18932.39409985,-0.534,-1.36258814296533,-1.89658814296533,-42.6132,-108.734533808622,-151.347733808622,-43.1472,-110.097121951588,-153.244321951588
-55,5000,13932.39409985,18932.39409985,-0.4895,-1.24903913105155,-1.73853913105155,-42.6132,-108.734533808622,-151.347733808622,-43.1027,-109.983572939674,-153.086272939674
-50,5000,13932.39409985,18932.39409985,-0.445,-1.13549011913778,-1.58049011913778,-42.6132,-108.734533808622,-151.347733808622,-43.0582,-109.87002392776,-152.92822392776
-45,5000,13932.39409985,18932.39409985,-0.4005,-1.021941107224,-1.422441107224,-42.6132,-108.734533808622,-151.347733808622,-43.0137,-109.756474915846,-152.770174915846
-40,5000,13932.39409985,18932.39409985,-0.356,-0.90839209531022,-1.26439209531022,-42.6132,-108.734533808622,-151.347733808622,-42.9692,-109.642925903932,-152.612125903932
-35,5000,13932.39409985,18932.39409985,-0.3115,-0.794843083396442,-1.10634308339644,-42.6132,-108.734533808622,-151.347733808622,-42.9247,-109.529376892019,-152.454076892019
-30,5000,13932.39409985,18932.39409985,-0.267,-0.681294071482665,-0.948294071482665,-42.6132,-108.734533808622,-151.347733808622,-42.8802,-109.415827880105,-152.296027880105
-25,5000,13932.39409985,18932.39409985,-0.2225,-0.567745059568888,-0.790245059568888,-42.6132,-108.734533808622,-151.347733808622,-42.8357,-109.302278868191,-152.137978868191
-20,5000,13932.39409985,18932.39409985,-0.178,-0.45419604765511,-0.63219604765511,-42.6132,-108.734533808622,-151.347733808622,-42.7912,-109.188729856277,-151.979929856277
-15,5000,13932.39409985,18932.39409985,-0.1335,-0.340647035741332,-0.474147035741332,-42.6132,-108.734533808622,-151.347733808622,-42.7467,-109.075180844364,-151.821880844364
-10,5000,13932.39409985,18932.39409985,-0.089,-0.227098023827555,-0.316098023827555,-42.6132,-108.734533808622,-151.347733808622,-42.7022,-108.96163183245,-151.66383183245
-5,5000,13932.39409985,18932.39409985,-0.0445,-0.113549011913777,-0.158049011913777,-42.6132,-108.734533808622,-151.347733808622,-42.6577,-108.848082820536,-151.505782820536
0,5000,13932.39409985,18932.39409985,0,0,0,-42.6132,-108.734533808622,-151.347733808622,-42.6132,-108.734533808622,-151.347733808622
5,5000,13932.39409985,18932.39409985,0.0445,0.113549011913777,0.158049011913777,-42.6132,-108.734533808622,-151.347733808622,-42.5687,-108.620984796708,-151.189684796708
10,5000,13932.39409985,18932.39409985,0.089,0.227098023827555,0.316098023827555,-42.6132,-108.734533808622,-151.347733808622,-42.5242,-108.507435784795,-151.031635784795
15,5000,13932.39409985,18932.39409985,0.1335,0.340647035741332,0.474147035741332,-42.6132,-108.734533808622,-151.347733808622,-42.4797,-108.393886772881,-150.873586772881
20,5000,13932.39409985,18932.39409985,0.178,0.45419604765511,0.63219604765511,-42.6132,-108.734533808622,-151.347733808622,-42.4352,-108.280337760967,-150.715537760967
25,5000,13932.39409985,18932.39409985,0.2225,0.567745059568888,0.790245059568888,-42.6132,-108.734533808622,-151.347733808622,-42.3907,-108.166788749053,-150.557488749053
