continent,habitat,CAR
Africa,marsh,153.16
Asia,marsh,2483.88
Europe,marsh,3306.96
N & C America,marsh,9492.08
Oceania,marsh,8252.3
South America,marsh,1566
World,marsh,25254.38
Africa,mangrove,9804.22
Asia,mangrove,45505.64
Europe,mangrove,0
N & C America,mangrove,6053.02
Oceania,mangrove,9873.54
South America,mangrove,10797.38
World,mangrove,82033.8
Africa,total,9957.38
Asia,total,47989.52
Europe,total,3306.96
N & C America,total,15545.1
Oceania,total,18125.84
South America,total,12363.38
World,total,107288.18
