"alpha.3","area_tidal_marsh_km2","area_mangrove_km2","area_total_km2","car_marsh","car_mangrove","car_total_ggy","name","alpha.2","country.code","iso_3166.2","region","supercontinent","continent","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","category","value","habitat"
"ABW",0,0.99,0.99,0,0.12,0.12,"Aruba","AW",533,"ISO 3166-2:AW","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"ABW",0,0.99,0.99,0,0.12,0.12,"Aruba","AW",533,"ISO 3166-2:AW","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.005610098,"Mangrove"
"AGO",0,302.12,302.12,0,32.86,32.86,"Angola","AO",24,"ISO 3166-2:AO","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_marsh",0,"Marsh"
"AGO",0,302.12,302.12,0,32.86,32.86,"Angola","AO",24,"ISO 3166-2:AO","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_mangrove",1.536231884,"Mangrove"
"AIA",0,0.05,0.05,0,0.01,0.01,"Anguilla","AI",660,"ISO 3166-2:AI","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"AIA",0,0.05,0.05,0,0.01,0.01,"Anguilla","AI",660,"ISO 3166-2:AI","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.000467508,"Mangrove"
"ALA",0.82,0,0.82,0.26,0,0.26,"Åland Islands","AX",248,"ISO 3166-2:AX","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",0.017403,"Marsh"
"ALA",0.82,0,0.82,0.26,0,0.26,"Åland Islands","AX",248,"ISO 3166-2:AX","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"ALB",46.62,0,46.62,14.94,0,14.94,"Albania","AL",8,"ISO 3166-2:AL","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_marsh",1,"Marsh"
"ALB",46.62,0,46.62,14.94,0,14.94,"Albania","AL",8,"ISO 3166-2:AL","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_mangrove",0,"Mangrove"
"ARE",47.79,120.51,168.3,0.99,2.44,3.42,"United Arab Emirates","AE",784,"ISO 3166-2:AE","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_marsh",0.066265,"Marsh"
"ARE",47.79,120.51,168.3,0.99,2.44,3.42,"United Arab Emirates","AE",784,"ISO 3166-2:AE","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_mangrove",0.114071996,"Mangrove"
"ARG",1188.7,0,1188.7,382.29,0,382.22,"Argentina","AR",32,"ISO 3166-2:AR","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",25.588353,"Marsh"
"ARG",1188.7,0,1188.7,382.29,0,382.22,"Argentina","AR",32,"ISO 3166-2:AR","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",0,"Mangrove"
"ASM",0,0,0,0,0,0,"American Samoa","AS",16,"ISO 3166-2:AS","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_marsh",0,"Marsh"
"ASM",0,0,0,0,0,0,"American Samoa","AS",16,"ISO 3166-2:AS","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_mangrove",0,"Mangrove"
"ATG",0,9.25,9.25,0,1.16,1.16,"Antigua and Barbuda","AG",28,"ISO 3166-2:AG","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"ATG",0,9.25,9.25,0,1.16,1.16,"Antigua and Barbuda","AG",28,"ISO 3166-2:AG","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.054230949,"Mangrove"
"AUS",14933.44,9552.53,24485.96,4110.64,2751.99,6864.3,"Australia","AU",36,"ISO 3166-2:AU","Oceania","Oceania","Oceania","Australia and New Zealand","",9,53,NA,"nar_marsh",275.14324,"Marsh"
"AUS",14933.44,9552.53,24485.96,4110.64,2751.99,6864.3,"Australia","AU",36,"ISO 3166-2:AU","Oceania","Oceania","Oceania","Australia and New Zealand","",9,53,NA,"nar_mangrove",128.657784,"Mangrove"
"BEL",4.76,0,4.76,1.21,0,1.21,"Belgium","BE",56,"ISO 3166-2:BE","Europe","Europe","Europe","Western Europe","",150,155,NA,"nar_marsh",0.080991,"Marsh"
"BEL",4.76,0,4.76,1.21,0,1.21,"Belgium","BE",56,"ISO 3166-2:BE","Europe","Europe","Europe","Western Europe","",150,155,NA,"nar_mangrove",0,"Mangrove"
"BEN",0,42.88,42.88,0,8.94,8.94,"Benin","BJ",204,"ISO 3166-2:BJ","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"BEN",0,42.88,42.88,0,8.94,8.94,"Benin","BJ",204,"ISO 3166-2:BJ","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",0.417952314,"Mangrove"
