"alpha.3","Region","habitat","value"
"ABW","N&C America","nar_marsh",0
"ABW","N&C America","nar_mangrove",0.005610098
"ABW","N&C America","nar_total",0.00561
"AGO","Africa","nar_marsh",0
"AGO","Africa","nar_mangrove",1.536231884
"AGO","Africa","nar_total",1.536232
"AIA","N&C America","nar_marsh",0
"AIA","N&C America","nar_mangrove",0.000467508
"AIA","N&C America","nar_total",0.000468
"ALA","Europe","nar_marsh",0.017403
"ALA","Europe","nar_mangrove",0
"ALA","Europe","nar_total",0.017403
"ALB","Europe","nar_marsh",1
"ALB","Europe","nar_mangrove",0
"ALB","Europe","nar_total",1
"ARE","Asia","nar_marsh",0.066265
"ARE","Asia","nar_mangrove",0.114071996
"ARE","Asia","nar_total",0.180337
"ARG","South America","nar_marsh",25.588353
"ARG","South America","nar_mangrove",0
"ARG","South America","nar_total",25.588353
"ASM","Oceania","nar_marsh",0
"ASM","Oceania","nar_mangrove",0
"ASM","Oceania","nar_total",0
"ATG","N&C America","nar_marsh",0
"ATG","N&C America","nar_mangrove",0.054230949
"ATG","N&C America","nar_total",0.054231
"AUS","Oceania","nar_marsh",275.14324
"AUS","Oceania","nar_mangrove",128.657784
"AUS","Oceania","nar_total",403.801024
"BEL","Europe","nar_marsh",0.080991
"BEL","Europe","nar_mangrove",0
"BEL","Europe","nar_total",0.080991
"BEN","Africa","nar_marsh",0
"BEN","Africa","nar_mangrove",0.417952314
"BEN","Africa","nar_total",0.417952
"BES","N&C America","nar_marsh",0
"BES","N&C America","nar_mangrove",0.014025245
"BES","N&C America","nar_total",0.014025
"BGD","Asia","nar_marsh",0
"BGD","Asia","nar_mangrove",11.75081814
"BGD","Asia","nar_total",11.750818
"BGR","Europe","nar_marsh",0.006693
"BGR","Europe","nar_mangrove",0
"BGR","Europe","nar_total",0.006693
"BHR","Asia","nar_marsh",0
"BHR","Asia","nar_mangrove",0.000935016
"BHR","Asia","nar_total",0.000935
"BHS","N&C America","nar_marsh",0
"BHS","N&C America","nar_mangrove",4.681626928
"BHS","N&C America","nar_total",4.681627
"BLM","N&C America","nar_marsh",0
"BLM","N&C America","nar_mangrove",0
"BLM","N&C America","nar_total",0
"BLZ","N&C America","nar_marsh",0
"BLZ","N&C America","nar_mangrove",2.852734923
"BLZ","N&C America","nar_total",2.852735
"BMU","N&C America","nar_marsh",0
"BMU","N&C America","nar_mangrove",0.000935016
"BMU","N&C America","nar_total",0.000935
"BRA","South America","nar_marsh",20.016064
"BRA","South America","nar_mangrove",138.6489014
"BRA","South America","nar_total",158.664966
"BRB","N&C America","nar_marsh",0
"BRB","N&C America","nar_mangrove",0.002337541
"BRB","N&C America","nar_total",0.002338
"BRN","Asia","nar_marsh",0
"BRN","Asia","nar_mangrove",3.04114072
