Region,Carbon,Habitat,predicted_CN,predicted_CN_var,predicted_N,predicted_N_se
Asia,22752.82,mangrove,16.75771196,0.660171578,1357.752183,65.83156808
Europe,0,mangrove,16.75771196,0.660171578,0,0
Africa,4902.11,mangrove,16.75771196,0.660171578,292.5285988,14.18345454
Oceania,4936.77,mangrove,16.75771196,0.660171578,294.5969002,14.28373759
NC.America,3026.51,mangrove,16.75771196,0.660171578,180.6040112,8.756712316
S.America,5398.69,mangrove,16.75771196,0.660171578,322.1615225,15.62022766
Total,41016.9,mangrove,16.75771196,0.660171578,2447.643216,118.6757002
Asia,1241.94,marsh,16.35620399,0.59732246,75.93082115,3.587897277
Europe,1653.48,marsh,16.35620399,0.59732246,101.091916,4.776814008
Africa,76.58,marsh,16.35620399,0.59732246,4.682015463,0.221235465
Oceania,4126.15,marsh,16.35620399,0.59732246,252.2681914,11.92022348
NC.America,4746.04,marsh,16.35620399,0.59732246,290.167572,13.71105206
S.America,783,marsh,16.35620399,0.59732246,47.87174337,2.262044517
Total,12627.19,marsh,16.35620399,0.59732246,772.0122594,36.47926681
global,NA,NA,NA,NA,3219.655,124.1558
Asia,23994.76,marsh+mangrove,,,1433.683004,65.92926788
Europe,1653.48,marsh+mangrove,,,101.091916,4.776814008
Africa,4978.69,marsh+mangrove,,,297.2106143,14.18517987
Oceania,9062.92,marsh+mangrove,,,546.8650917,18.60421693
NC.America,7772.55,marsh+mangrove,,,470.7715833,16.26877251
S.America,6181.69,marsh+mangrove,,,370.0332659,15.7831669
Total,53644.09,marsh+mangrove,,,3219.655475,124.1557841
