"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI","Habitat","CN","centerdepth","Ndensity","BDclass"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_1","Chapala",NA,NA,"1","Salt marsh",2018,"30.513344","-115.982706",0,0.15,10.26,0.92,0.29,NA,"marsh",11.1521739130435,0.075,2.668,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_1","Chapala",NA,NA,"1","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,6.27,0.52,0.49,NA,"marsh",12.0576923076923,0.225,2.548,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_1","Chapala",NA,NA,"1","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,2.75,0.27,0.82,NA,"marsh",10.1851851851852,0.4,2.214,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_1","Chapala",NA,NA,"1","Salt marsh",2018,"30.513344","-115.982706",0.5,1,2.56,0.24,0.87,NA,"marsh",10.6666666666667,0.75,2.088,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_2","Chapala",NA,NA,"2","Salt marsh",2018,"30.513344","-115.982706",0,0.15,8.69,0.78,0.35,NA,"marsh",11.1410256410256,0.075,2.73,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_2","Chapala",NA,NA,"2","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,7.53,0.66,0.5,NA,"marsh",11.4090909090909,0.225,3.3,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_2","Chapala",NA,NA,"2","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,2.82,0.3,0.82,NA,"marsh",9.4,0.4,2.46,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_2","Chapala",NA,NA,"2","Salt marsh",2018,"30.513344","-115.982706",0.5,1,2.25,0.22,1.02,NA,"marsh",10.2272727272727,0.75,2.244,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_3","Chapala",NA,NA,"3","Salt marsh",2018,"30.513344","-115.982706",0,0.15,8.48,0.8,0.36,NA,"marsh",10.6,0.075,2.88,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_3","Chapala",NA,NA,"3","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,6.22,0.56,0.42,NA,"marsh",11.1071428571429,0.225,2.352,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_3","Chapala",NA,NA,"3","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,3.04,0.33,0.6,NA,"marsh",9.21212121212121,0.4,1.98,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_3","Chapala",NA,NA,"3","Salt marsh",2018,"30.513344","-115.982706",0.5,1,4.79,0.43,0.7,NA,"marsh",11.1395348837209,0.75,3.01,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_4","Chapala",NA,NA,"4","Salt marsh",2018,"30.513344","-115.982706",0,0.15,11.95,1.03,0.26,NA,"marsh",11.6019417475728,0.075,2.678,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_4","Chapala",NA,NA,"4","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,9.38,0.81,0.25,NA,"marsh",11.5802469135802,0.225,2.025,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_4","Chapala",NA,NA,"4","Salt marsh",2018,"30.513344","-115.982706",0.3,0.5,6.49,0.71,0.67,NA,"marsh",9.14084507042254,0.4,4.757,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_4","Chapala",NA,NA,"4","Salt marsh",2018,"30.513344","-115.982706",0.5,1,0.66,0.08,1.34,NA,"marsh",8.25,0.75,1.072,"BD>0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_5","Chapala",NA,NA,"5","Salt marsh",2018,"30.513344","-115.982706",0,0.15,15.33,1.27,0.23,NA,"marsh",12.0708661417323,0.075,2.921,"BD<0.5"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Chapala_5","Chapala",NA,NA,"5","Salt marsh",2018,"30.513344","-115.982706",0.15,0.3,4.84,0.55,0.53,NA,"marsh",8.8,0.225,2.915,"BD>0.5"
