"","Longitude","Latitude","References","MAT","MAP","Vegetation","RSLR","CAR","TSM","mtidalrng","mhws","DEM.Elevation","Cyclong.frequency","modeledCN","NAR"
"1",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.9192733759303,8.41329413489597
"2",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.9192733759303,8.41329413489597
"3",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.9192733759303,8.41329413489597
"4",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.9192733759303,8.41329413489597
"5",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.9192733759303,8.41329413489597
"6",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.9192733759303,8.41329413489597
"7",-81.73,26.02,"Cahoon and Lyach 1997",23.4,1306,"Mangrove",2.3,328,4.3,0.94,0.71,1.77,6.58,20.9192733759303,15.6793208877607
"8",-81.74,26.03,"Cahoon and Lyach 1997",23.4,1306,"Mangrove",2.3,291,4.3,0.94,0.71,0,6.55,20.9192733759303,13.9106170071291
"9",-81.75,26.02,"Cahoon and Lyach 1997",23.4,1306,"Mangrove",2.3,191,4.3,0.94,0.71,1.76,6.54,20.9192733759303,9.13033624866551
"10",-81.73,26.02,"Cahoon and Lyach1997,1994",23.4,1306,"Mangrove",2.3,228,4.3,0.94,0.71,1.77,6.58,20.9192733759303,10.899040129297
"11",-80.6,25,"Callaway et al 1997",24.6,1159,"Mangrove",4.2,129.6,12.66,0.54,0.37,0,7.92,20.9192733759303,6.19524386296885
"12",-80.3,25.3,"Callaway et al 1997",24.2,1344,"Mangrove",4.2,165.8,4.26,0.57,0.34,1.74,7.78,20.9192733759303,7.92570549753268
"13",-80.7,24.9,"Callaway et al 1997",24.6,1147,"Mangrove",1.9,120,7.39,0.57,0.37,4.06,8.02,20.9192733759303,5.73633691015634
"14",-80.6,25,"Callaway et al 1997",24.6,1159,"Mangrove",1.9,57.7,12.66,0.54,0.37,0,7.92,20.9192733759303,2.75822199763351
"15",-80.55,24.99,"Callaway et al 1997",24.6,1159,"Mangrove",3.9,152.2,9.16,0.57,0.37,3.07,7.9,20.9192733759303,7.27558731438163
"16",-81.7,26,"Lynch et al. 1989",23.4,1306,"Mangrove",1.7,86,4.3,0.94,0.71,2.41,6.68,20.9192733759303,4.11104145227871
"17",-81.7,26,"Lynch et al. 1989",23.4,1306,"Mangrove",1.4,90,4.3,0.94,0.71,2.07,6.68,20.9192733759303,4.30225268261726
"18",-81.7,26,"Lynch et al. 1989",23.4,1306,"Mangrove",1.6,91,4.3,0.94,0.71,2.02,6.68,20.9192733759303,4.35005549020189
"19",-81.7,26,"Lynch et al. 1989",23.4,1306,"Mangrove",1.7,99,4.3,0.94,0.71,2.53,6.69,20.9192733759303,4.73247795087898
"20",-81.78,26.08,"Marchio et al 2016",23.4,1306,"Mangrove",2.4,21,4.59,0.92,0.7,1.07,6.36,20.9192733759303,1.00385895927736
"21",-81.78,26.1,"Marchio et al 2016",23.4,1306,"Mangrove",2.4,47,4.59,0.92,0.7,4.89,6.29,20.9192733759303,2.2467319564779
"22",-81.78,26.1,"Marchio et al 2016",23.4,1306,"Mangrove",2.4,74,4.59,0.92,0.7,2.45,6.3,20.9192733759303,3.53740776126308
