study_id,DOI,site_id,impact_class,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,U_depth_m_decompressed,L_depth_m_decompressed,OC_perc,N_perc,BD_reported_g_cm3,carbon_burial_rate,carbon_burial_rate_uncertainty,nitrogen_burial_rate,nitrogen_burial_rate_uncertainty
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0,0.005,0,0.00502,NA,NA,0.2441148658870486,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.005,0.01,0.00502,0.014013499999999936,NA,NA,0.3805807067899848,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.01,0.015,0.014013499999999936,0.023007,NA,NA,0.297111309,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.015,0.02,0.023007,0.0320005,NA,NA,0.32559689710579204,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.02,0.025,0.0320005,0.040993999999999954,11.18185734,0.5194026841266711,0.34017091894979495,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.025,0.03,0.040993999999999954,0.0499875,11.36492259130142,0.5214049643068995,0.34017091894979495,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.03,0.035,0.0499875,0.058981,NA,NA,0.3898550843270776,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.035,0.04,0.058981,0.0679745,11.27376259231135,0.5164990966721316,0.297111309,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.04,0.045,0.0679745,0.076968,NA,NA,0.4190031280150833,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.045,0.05,0.076968,0.0859615,11.687302310870862,0.524521771,0.34348319664161386,75,6,3.4,0.3
