study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,1,,Deltaic mangrove,mangrove,2015,-7.786217,39.32183,0,0.15,0.96,0.09,,1.07,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,1,,Deltaic mangrove,mangrove,2015,-7.786217,39.32183,0.15,0.3,0.5,0.05,,1.16,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,1,,Deltaic mangrove,mangrove,2015,-7.786217,39.32183,0.3,0.45,0.6,0.06,,1,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,1,,Deltaic mangrove,mangrove,2015,-7.786217,39.32183,0.45,1.1,1.37,0.08,,0.85,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,1,,Deltaic mangrove,mangrove,2015,-7.786217,39.32183,1.1,1.85,0.87,0.06,,0.99,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,1,,Deltaic mangrove,mangrove,2015,-7.786217,39.32183,1.85,2,0.82,0.06,,1.02,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,2,,Deltaic mangrove,mangrove,2015,-7.805889,39.289323,0,0.15,1.57,0.15,,0.64,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,2,,Deltaic mangrove,mangrove,2015,-7.805889,39.289323,0.15,0.3,1.76,0.15,,0.56,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,2,,Deltaic mangrove,mangrove,2015,-7.805889,39.289323,0.3,0.45,1.59,0.14,,0.68,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,2,,Deltaic mangrove,mangrove,2015,-7.805889,39.289323,0.45,1.1,1.43,0.11,,0.73,
