"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3"
"1","Trettin et al. 2020","Ruffiji",1,"Deltaic mangrove",2015,-7.786217,39.32183,0,0.15,0.96,0.09,1.07
"2","Trettin et al. 2020","Ruffiji",1,"Deltaic mangrove",2015,-7.786217,39.32183,0.15,0.3,0.5,0.05,1.16
"3","Trettin et al. 2020","Ruffiji",1,"Deltaic mangrove",2015,-7.786217,39.32183,0.3,0.45,0.6,0.06,1
"4","Trettin et al. 2020","Ruffiji",1,"Deltaic mangrove",2015,-7.786217,39.32183,0.45,1.1,1.37,0.08,0.85
"5","Trettin et al. 2020","Ruffiji",1,"Deltaic mangrove",2015,-7.786217,39.32183,1.1,1.85,0.87,0.06,0.99
"6","Trettin et al. 2020","Ruffiji",1,"Deltaic mangrove",2015,-7.786217,39.32183,1.85,2,0.82,0.06,1.02
"7","Trettin et al. 2020","Ruffiji",2,"Deltaic mangrove",2015,-7.805889,39.289323,0,0.15,1.57,0.15,0.64
"8","Trettin et al. 2020","Ruffiji",2,"Deltaic mangrove",2015,-7.805889,39.289323,0.15,0.3,1.76,0.15,0.56
"9","Trettin et al. 2020","Ruffiji",2,"Deltaic mangrove",2015,-7.805889,39.289323,0.3,0.45,1.59,0.14,0.68
"10","Trettin et al. 2020","Ruffiji",2,"Deltaic mangrove",2015,-7.805889,39.289323,0.45,1.1,1.43,0.11,0.73
"11","Trettin et al. 2020","Ruffiji",2,"Deltaic mangrove",2015,-7.805889,39.289323,1.1,1.85,1.17,0.1,0.91
"12","Trettin et al. 2020","Ruffiji",2,"Deltaic mangrove",2015,-7.805889,39.289323,1.85,2,1.02,0.09,0.84
"13","Trettin et al. 2020","Ruffiji",3,"Deltaic mangrove",2015,-7.817306,39.352697,0,0.15,2.1,0.14,0.67
"14","Trettin et al. 2020","Ruffiji",3,"Deltaic mangrove",2015,-7.817306,39.352697,0.15,0.3,1.91,0.09,0.85
"15","Trettin et al. 2020","Ruffiji",3,"Deltaic mangrove",2015,-7.817306,39.352697,0.3,0.45,1.83,0.08,0.95
"16","Trettin et al. 2020","Ruffiji",3,"Deltaic mangrove",2015,-7.817306,39.352697,0.45,1.1,1.28,0.06,1.24
"17","Trettin et al. 2020","Ruffiji",3,"Deltaic mangrove",2015,-7.817306,39.352697,1.1,1.85,1.04,0.06,0.99
"18","Trettin et al. 2020","Ruffiji",3,"Deltaic mangrove",2015,-7.817306,39.352697,1.85,2,0.74,0.04,1.33
"19","Trettin et al. 2020","Ruffiji",4,"Deltaic mangrove",2015,-7.811658,39.283833,0,0.15,1.83,0.15,0.66
"20","Trettin et al. 2020","Ruffiji",4,"Deltaic mangrove",2015,-7.811658,39.283833,0.15,0.3,1.61,0.13,0.71
