"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0,0.005,NA,NA,0.244114865887049,"https://doi.org/10.1007/s10021-020-00500-z"
"2","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.005,0.01,NA,NA,0.380580706789985,"https://doi.org/10.1007/s10021-020-00500-z"
"3","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.01,0.015,NA,NA,0.297111309,"https://doi.org/10.1007/s10021-020-00500-z"
"4","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.015,0.02,NA,NA,0.325596897105792,"https://doi.org/10.1007/s10021-020-00500-z"
"5","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.02,0.025,11.18185734,0.519402684126671,0.340170918949795,"https://doi.org/10.1007/s10021-020-00500-z"
"6","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.025,0.03,11.3649225913014,0.5214049643069,0.340170918949795,"https://doi.org/10.1007/s10021-020-00500-z"
"7","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.03,0.035,NA,NA,0.389855084327078,"https://doi.org/10.1007/s10021-020-00500-z"
"8","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.035,0.04,11.2737625923113,0.516499096672132,0.297111309,"https://doi.org/10.1007/s10021-020-00500-z"
"9","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.04,0.045,NA,NA,0.419003128015083,"https://doi.org/10.1007/s10021-020-00500-z"
"10","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.045,0.05,11.6873023108709,0.524521771,0.343483196641614,"https://doi.org/10.1007/s10021-020-00500-z"
"11","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.05,0.055,NA,NA,0.473324482160912,"https://doi.org/10.1007/s10021-020-00500-z"
"12","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.055,0.06,10.062892392501,0.437174794457479,0.242789954810321,"https://doi.org/10.1007/s10021-020-00500-z"
"13","Arias-Ortiz_et_al_2021madagascar","Tsimipaika_Bay_undisturbed","Cc_18","mangrove",2016,-13.53214923,48.47598453,0.06,0.065,NA,NA,0.528970747383469,"https://doi.org/10.1007/s10021-020-00500-z"
